750_39, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,3978,3978,3982,3984,3989,3997,1,3979,3985,3988,3994,4034,1,,,,,,,,,,,,
4,1989,2007,2021,2028,2035,2051,1,2002,2023,2028,2036,2063,1,,,,,,,,,,,,
8,1112,1166,1181,1190,1199,1223,1,1164,1179,1185,1193,1208,1,,,,,,,,,,,,
16,1107,1107,1111,1119,1129,1160,1,1107,1107,1107,1107,1107,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0039.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 2240
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 17
#   Min. Layer Width  : 3
#   Ave. Layer Width  : 10.000000
#   Edges             : 55073 / 277238 (+dummy edges : 23)
#   Max. Predecessors : 162
#   Min. Predecessors : 0
#   Ave. Predecessors : 73.430667
#   Probability       : 0.199552 (Real : 0.198649)
# Task processing time generator : unifproc
#   Random Seed       : 2239
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.606667)
# CP Length           : 1107
# Parallelism         : 7.186089
