750_149, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,3029,3029,3030,3033,3035,3040,1,3030,3032,3035,3038,3046,1,,,,,,,,,,,,
4,1515,1521,1529,1534,1540,1557,1,1520,1526,1529,1534,1549,1,,,,,,,,,,,,
8,758,810,824,831,839,870,1,804,815,820,826,842,1,,,,,,,,,,,,
16,686,686,693,697,704,730,1,686,686,686,686,686,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0149.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 3141
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 16
#   Min. Layer Width  : 4
#   Ave. Layer Width  : 10.000000
#   Edges             : 33786 / 277142 (+dummy edges : 27)
#   Max. Predecessors : 109
#   Min. Predecessors : 0
#   Ave. Predecessors : 45.048000
#   Probability       : 0.122619 (Real : 0.121909)
# Task processing time generator : norm2pks
#   Random Seed       : 3140
#   Max. Proc. Time   : 18
#   Min. Proc. Time   : 2
#   Ave. Proc. Time(1): 5.000000
#   Standard Dev.(1)  : 1.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 8.077333)
#   Standard Dev.(2)  : 3.000000
#   Probability of Av1: 0.500000
# CP Length           : 686
# Parallelism         : 8.830904
