750_0, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2080,2083,2090,2094,2097,2110,1,2081,2092,2095,2101,2113,1,,,,,,,,,,,,
4,1040,1088,1103,1110,1116,1130,1,1086,1099,1106,1113,1128,1,,,,,,,,,,,,
8,810,814,821,824,827,844,1,812,816,818,820,825,1,,,,,,,,,,,,
16,810,810,813,817,821,841,1,810,810,810,810,810,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0000.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 1967
#   Tasks             : 750 (+dummy tasks : 2)
#   Edges             : 30064 / 280875 (+dummy edges : 23)
#   Max. Predecessors : 93
#   Min. Predecessors : 0
#   Ave. Predecessors : 40.085333
#   Probability       : 0.107617 (Real : 0.107037)
# Task processing time generator : unifproc
#   Random Seed       : 1966
#   Max. Proc. Time   : 10
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 5.546667)
# CP Length           : 810
# Parallelism         : 5.135802
