750_142, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2953,2953,2962,2968,2975,2995,1,2953,2957,2961,2967,3004,1,,,,,,,,,,,,
4,1477,1509,1526,1534,1548,1599,1,1493,1505,1513,1523,1554,1,,,,,,,,,,,,
8,932,959,976,984,995,1036,1,944,958,962,965,976,1,,,,,,,,,,,,
16,932,932,937,943,952,997,1,932,932,932,932,932,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0142.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 3092
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 18
#   Min. Layer Width  : 3
#   Ave. Layer Width  : 10.000000
#   Edges             : 35655 / 277195 (+dummy edges : 24)
#   Max. Predecessors : 108
#   Min. Predecessors : 0
#   Ave. Predecessors : 47.540000
#   Probability       : 0.129195 (Real : 0.128628)
# Task processing time generator : expo2pks
#   Random Seed       : 3091
#   Max. Proc. Time   : 59
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.873333)
#   Probability of Av1: 0.500000
# CP Length           : 932
# Parallelism         : 6.335837
