750_67, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,4086,4086,4088,4090,4093,4105,1,4086,4088,4091,4095,4108,1,,,,,,,,,,,,
4,2043,2050,2063,2067,2074,2091,1,2047,2063,2065,2070,2079,1,,,,,,,,,,,,
8,1022,1063,1079,1086,1097,1140,1,1047,1064,1071,1079,1094,1,,,,,,,,,,,,
16,719,722,735,743,751,794,1,719,723,725,728,741,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0067.stg
# Precedence constraints generator : samepred
#   Random Seed       : 2436
#   Tasks             : 750 (+dummy tasks : 2)
#   Edges             : 11936 / 280875 (+dummy edges : 48)
#   Max. Predecessors : 46
#   Min. Predecessors : 0
#   Ave. Predecessors : 16.000000 (Real : 15.914667)
# Task processing time generator : unifproc
#   Random Seed       : 2435
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.896000)
# CP Length           : 719
# Parallelism         : 11.365786
