750_163, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2956,2956,2958,2960,2962,2970,1,2956,2958,2960,2963,2976,1,,,,,,,,,,,,
4,1478,1482,1493,1498,1503,1527,1,1480,1484,1486,1490,1498,1,,,,,,,,,,,,
8,739,768,791,801,813,858,1,744,752,755,757,764,1,,,,,,,,,,,,
16,370,436,463,477,493,528,1,392,399,402,406,430,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0163.stg
# Precedence constraints generator : samepred
#   Random Seed       : 3239
#   Tasks             : 750 (+dummy tasks : 2)
#   Edges             : 5963 / 280875 (+dummy edges : 94)
#   Max. Predecessors : 28
#   Min. Predecessors : 0
#   Ave. Predecessors : 8.000000 (Real : 7.950667)
# Task processing time generator : norm2pks
#   Random Seed       : 3238
#   Max. Proc. Time   : 19
#   Min. Proc. Time   : 2
#   Ave. Proc. Time(1): 5.000000
#   Standard Dev.(1)  : 1.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.882667)
#   Standard Dev.(2)  : 3.000000
#   Probability of Av1: 0.500000
# CP Length           : 298
# Parallelism         : 19.838926
