750_98, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,4025,4025,4027,4029,4031,4039,1,4025,4027,4030,4032,4045,1,,,,,,,,,,,,
4,2013,2016,2022,2026,2033,2053,1,2015,2019,2021,2024,2037,1,,,,,,,,,,,,
8,1007,1024,1041,1052,1062,1102,1,1010,1016,1020,1024,1042,1,,,,,,,,,,,,
16,504,556,583,595,611,652,1,529,540,546,555,565,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0098.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 2653
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 18
#   Min. Layer Width  : 3
#   Ave. Layer Width  : 10.000000
#   Edges             : 11226 / 277168 (+dummy edges : 66)
#   Max. Predecessors : 38
#   Min. Predecessors : 0
#   Ave. Predecessors : 15.000000 (Real : 14.968000)
# Task processing time generator : unifproc
#   Random Seed       : 2652
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.733333)
# CP Length           : 461
# Parallelism         : 17.462040
