750_22, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2059,2088,2105,2112,2116,2133,1,2094,2112,2118,2125,2150,1,,,,,,,,,,,,
4,1171,1249,1264,1268,1273,1292,1,1256,1264,1270,1275,1296,1,,,,,,,,,,,,
8,1131,1131,1133,1136,1139,1148,1,1131,1131,1131,1131,1132,1,,,,,,,,,,,,
16,1131,1131,1132,1135,1139,1153,1,1131,1131,1131,1131,1131,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0022.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 2121
#   Tasks             : 750 (+dummy tasks : 2)
#   Edges             : 54359 / 280875 (+dummy edges : 9)
#   Max. Predecessors : 163
#   Min. Predecessors : 0
#   Ave. Predecessors : 72.478667
#   Probability       : 0.194093 (Real : 0.193534)
# Task processing time generator : normproc
#   Random Seed       : 2120
#   Max. Proc. Time   : 9
#   Min. Proc. Time   : 2
#   Ave. Proc. Time   : 5.000000 (Real : 5.484000)
#   Standard Deviation: 1.000000
# CP Length           : 1131
# Parallelism         : 3.636605
