750_36, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,3834,3834,3837,3841,3845,3863,1,3834,3840,3845,3849,3871,1,,,,,,,,,,,,
4,1917,1931,1946,1951,1957,1971,1,1928,1942,1947,1954,1969,1,,,,,,,,,,,,
8,1070,1117,1132,1144,1150,1174,1,1111,1125,1132,1139,1160,1,,,,,,,,,,,,
16,1070,1070,1070,1073,1078,1095,1,1070,1070,1070,1070,1070,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0036.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 2219
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 19
#   Min. Layer Width  : 2
#   Ave. Layer Width  : 10.000000
#   Edges             : 50074 / 277119 (+dummy edges : 22)
#   Max. Predecessors : 148
#   Min. Predecessors : 0
#   Ave. Predecessors : 66.765333
#   Probability       : 0.180942 (Real : 0.180695)
# Task processing time generator : unifproc
#   Random Seed       : 2218
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.222667)
# CP Length           : 1070
# Parallelism         : 7.165421
