750_64, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2045,2045,2046,2047,2049,2057,1,2045,2045,2047,2048,2055,1,,,,,,,,,,,,
4,1023,1030,1041,1046,1053,1073,1,1024,1026,1029,1032,1047,1,,,,,,,,,,,,
8,512,550,573,582,590,612,1,523,534,538,542,554,1,,,,,,,,,,,,
16,359,375,389,397,404,444,1,363,368,370,371,378,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0064.stg
# Precedence constraints generator : samepred
#   Random Seed       : 2415
#   Tasks             : 750 (+dummy tasks : 2)
#   Edges             : 10330 / 280875 (+dummy edges : 61)
#   Max. Predecessors : 40
#   Min. Predecessors : 0
#   Ave. Predecessors : 14.000000 (Real : 13.773333)
# Task processing time generator : unifproc
#   Random Seed       : 2414
#   Max. Proc. Time   : 10
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 5.452000)
# CP Length           : 359
# Parallelism         : 11.389972
