750_125, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,3203,3236,3263,3272,3287,3318,1,3223,3255,3263,3276,3305,1,,,,,,,,,,,,
4,1772,1926,1947,1958,1972,2019,1,1907,1943,1955,1965,2001,1,,,,,,,,,,,,
8,1707,1707,1710,1712,1718,1742,1,1707,1708,1708,1710,1715,1,,,,,,,,,,,,
16,1707,1707,1707,1709,1715,1746,1,1707,1707,1707,1707,1707,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0125.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 2973
#   Tasks             : 750 (+dummy tasks : 2)
#   Edges             : 34847 / 280875 (+dummy edges : 15)
#   Max. Predecessors : 116
#   Min. Predecessors : 0
#   Ave. Predecessors : 46.462667
#   Probability       : 0.123736 (Real : 0.124066)
# Task processing time generator : expo2pks
#   Random Seed       : 2972
#   Max. Proc. Time   : 80
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 8.540000)
#   Probability of Av1: 0.500000
# CP Length           : 1707
# Parallelism         : 3.752197
