750_57, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,3943,3943,3945,3947,3950,3962,1,3943,3948,3950,3953,3966,1,,,,,,,,,,,,
4,1972,1976,1984,1989,1995,2016,1,1975,1984,1988,1992,2009,1,,,,,,,,,,,,
8,986,1034,1049,1058,1065,1093,1,1036,1046,1051,1058,1074,1,,,,,,,,,,,,
16,871,871,876,884,892,910,1,871,871,872,872,873,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0057.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 2366
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 21
#   Min. Layer Width  : 4
#   Ave. Layer Width  : 10.000000
#   Edges             : 44511 / 277163 (+dummy edges : 30)
#   Max. Predecessors : 136
#   Min. Predecessors : 0
#   Ave. Predecessors : 59.348000
#   Probability       : 0.161214 (Real : 0.160595)
# Task processing time generator : normproc
#   Random Seed       : 2365
#   Max. Proc. Time   : 18
#   Min. Proc. Time   : 2
#   Ave. Proc. Time   : 10.000000 (Real : 10.514667)
#   Standard Deviation: 3.000000
# CP Length           : 871
# Parallelism         : 9.053961
