750_141, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,3024,3033,3043,3050,3059,3089,1,3024,3034,3041,3050,3085,1,,,,,,,,,,,,
4,1512,1636,1663,1672,1685,1741,1,1577,1611,1623,1633,1660,1,,,,,,,,,,,,
8,1229,1238,1247,1251,1256,1277,1,1231,1236,1238,1240,1248,1,,,,,,,,,,,,
16,1229,1229,1229,1231,1234,1258,1,1229,1229,1229,1229,1229,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0141.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 3085
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 18
#   Min. Layer Width  : 5
#   Ave. Layer Width  : 10.000000
#   Edges             : 48181 / 277200 (+dummy edges : 22)
#   Max. Predecessors : 143
#   Min. Predecessors : 0
#   Ave. Predecessors : 64.241333
#   Probability       : 0.172991 (Real : 0.173813)
# Task processing time generator : expo2pks
#   Random Seed       : 3084
#   Max. Proc. Time   : 71
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 8.062667)
#   Probability of Av1: 0.500000
# CP Length           : 1229
# Parallelism         : 4.920260
