750_119, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,3971,3971,3972,3973,3975,3981,1,3971,3972,3973,3975,3982,1,,,,,,,,,,,,
4,1986,1987,1993,1997,2001,2021,1,1986,1989,1990,1992,2001,1,,,,,,,,,,,,
8,993,1003,1020,1029,1040,1087,1,995,1000,1003,1008,1024,1,,,,,,,,,,,,
16,497,548,566,582,598,638,1,518,528,533,539,550,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0119.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 2800
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 17
#   Min. Layer Width  : 3
#   Ave. Layer Width  : 10.000000
#   Edges             : 9821 / 277140 (+dummy edges : 61)
#   Max. Predecessors : 35
#   Min. Predecessors : 0
#   Ave. Predecessors : 13.000000 (Real : 13.094667)
# Task processing time generator : normproc
#   Random Seed       : 2799
#   Max. Proc. Time   : 19
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.588000)
#   Standard Deviation: 3.000000
# CP Length           : 433
# Parallelism         : 18.339493
