750_51, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2062,2062,2062,2063,2064,2069,1,2062,2063,2064,2065,2069,1,,,,,,,,,,,,
4,1031,1039,1043,1048,1050,1062,1,1032,1035,1036,1038,1048,1,,,,,,,,,,,,
8,516,539,553,559,565,589,1,528,533,535,538,545,1,,,,,,,,,,,,
16,410,414,429,435,440,461,1,410,410,410,410,412,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0051.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 2324
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 17
#   Min. Layer Width  : 2
#   Ave. Layer Width  : 10.000000
#   Edges             : 33984 / 277143 (+dummy edges : 24)
#   Max. Predecessors : 108
#   Min. Predecessors : 0
#   Ave. Predecessors : 45.312000
#   Probability       : 0.123993 (Real : 0.122623)
# Task processing time generator : normproc
#   Random Seed       : 2323
#   Max. Proc. Time   : 9
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 5.497333)
#   Standard Deviation: 1.000000
# CP Length           : 410
# Parallelism         : 10.056098
