750_58, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,3959,3959,3961,3962,3965,3974,1,3959,3962,3965,3968,3978,1,,,,,,,,,,,,
4,1980,1984,1991,1997,2003,2017,1,1982,1991,1995,1999,2014,1,,,,,,,,,,,,
8,990,1041,1052,1064,1072,1099,1,1029,1045,1053,1060,1080,1,,,,,,,,,,,,
16,850,850,857,864,871,891,1,850,850,850,855,859,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0058.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 2373
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 19
#   Min. Layer Width  : 5
#   Ave. Layer Width  : 10.000000
#   Edges             : 32344 / 277151 (+dummy edges : 34)
#   Max. Predecessors : 98
#   Min. Predecessors : 0
#   Ave. Predecessors : 43.125333
#   Probability       : 0.117418 (Real : 0.116702)
# Task processing time generator : normproc
#   Random Seed       : 2372
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.556000)
#   Standard Deviation: 3.000000
# CP Length           : 850
# Parallelism         : 9.314117
