750_170, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2750,2750,2750,2752,2754,2760,1,2750,2751,2753,2754,2768,1,,,,,,,,,,,,
4,1375,1378,1391,1399,1408,1469,1,1376,1379,1381,1383,1405,1,,,,,,,,,,,,
8,688,725,753,778,800,842,1,692,695,697,701,723,1,,,,,,,,,,,,
16,344,436,486,510,542,615,1,354,361,364,369,390,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0170.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 3288
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 18
#   Min. Layer Width  : 4
#   Ave. Layer Width  : 10.000000
#   Edges             : 5162 / 277129 (+dummy edges : 116)
#   Max. Predecessors : 22
#   Min. Predecessors : 0
#   Ave. Predecessors : 7.000000 (Real : 6.882667)
# Task processing time generator : expo2pks
#   Random Seed       : 3287
#   Max. Proc. Time   : 54
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.332000)
#   Probability of Av1: 0.500000
# CP Length           : 258
# Parallelism         : 21.313953
