750_46, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,4001,4006,4016,4024,4034,4062,1,4001,4012,4021,4032,4078,1,,,,,,,,,,,,
4,2001,2077,2108,2124,2139,2177,1,2047,2072,2087,2103,2163,1,,,,,,,,,,,,
8,1435,1460,1470,1479,1488,1530,1,1442,1457,1462,1471,1488,1,,,,,,,,,,,,
16,1435,1435,1435,1437,1443,1466,1,1435,1435,1435,1435,1435,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0046.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 2289
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 22
#   Min. Layer Width  : 3
#   Ave. Layer Width  : 10.000000
#   Edges             : 53421 / 277080 (+dummy edges : 26)
#   Max. Predecessors : 160
#   Min. Predecessors : 0
#   Ave. Predecessors : 71.228000
#   Probability       : 0.192976 (Real : 0.192800)
# Task processing time generator : expoproc
#   Random Seed       : 2288
#   Max. Proc. Time   : 69
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.668000)
# CP Length           : 1435
# Parallelism         : 5.575610
