750_43, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1988,1989,1994,1999,2001,2020,1,1988,1992,1997,2001,2017,1,,,,,,,,,,,,
4,994,1025,1042,1047,1057,1093,1,1006,1020,1026,1030,1050,1,,,,,,,,,,,,
8,664,683,693,698,704,726,1,672,678,681,684,695,1,,,,,,,,,,,,
16,664,664,670,673,679,708,1,664,664,664,664,664,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0043.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 2268
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 18
#   Min. Layer Width  : 4
#   Ave. Layer Width  : 10.000000
#   Edges             : 48461 / 277194 (+dummy edges : 19)
#   Max. Predecessors : 150
#   Min. Predecessors : 0
#   Ave. Predecessors : 64.614667
#   Probability       : 0.174366 (Real : 0.174827)
# Task processing time generator : expoproc
#   Random Seed       : 2267
#   Max. Proc. Time   : 30
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 5.301333)
# CP Length           : 664
# Parallelism         : 5.987952
