750_78, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,3913,3913,3915,3918,3923,3934,1,3913,3916,3921,3924,3948,1,,,,,,,,,,,,
4,1957,1963,1975,1983,1991,2027,1,1961,1971,1975,1980,2003,1,,,,,,,,,,,,
8,979,1011,1034,1047,1069,1118,1,997,1005,1010,1018,1036,1,,,,,,,,,,,,
16,620,641,661,676,692,761,1,625,636,639,643,659,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0078.stg
# Precedence constraints generator : samepred
#   Random Seed       : 2513
#   Tasks             : 750 (+dummy tasks : 2)
#   Edges             : 8874 / 280875 (+dummy edges : 57)
#   Max. Predecessors : 38
#   Min. Predecessors : 0
#   Ave. Predecessors : 12.000000 (Real : 11.832000)
# Task processing time generator : expoproc
#   Random Seed       : 2512
#   Max. Proc. Time   : 59
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.434667)
# CP Length           : 620
# Parallelism         : 12.622581
