750_88, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,3930,3930,3931,3933,3935,3943,1,3930,3932,3934,3936,3948,1,,,,,,,,,,,,
4,1965,1966,1974,1979,1985,2004,1,1966,1970,1973,1978,1991,1,,,,,,,,,,,,
8,983,998,1016,1023,1033,1073,1,990,997,1002,1006,1020,1,,,,,,,,,,,,
16,559,580,606,613,623,690,1,571,587,589,593,613,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0088.stg
# Precedence constraints generator : samepred
#   Random Seed       : 2583
#   Tasks             : 750 (+dummy tasks : 2)
#   Edges             : 10309 / 280875 (+dummy edges : 58)
#   Max. Predecessors : 37
#   Min. Predecessors : 0
#   Ave. Predecessors : 14.000000 (Real : 13.745333)
# Task processing time generator : normproc
#   Random Seed       : 2582
#   Max. Proc. Time   : 19
#   Min. Proc. Time   : 2
#   Ave. Proc. Time   : 10.000000 (Real : 10.480000)
#   Standard Deviation: 3.000000
# CP Length           : 559
# Parallelism         : 14.060822
