750_172, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2968,2968,2969,2972,2976,3004,1,2968,2970,2972,2976,2993,1,,,,,,,,,,,,
4,1484,1489,1508,1519,1534,1587,1,1485,1490,1496,1501,1515,1,,,,,,,,,,,,
8,742,780,819,839,857,923,1,752,764,769,778,822,1,,,,,,,,,,,,
16,509,532,551,561,585,654,1,509,517,519,524,544,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0172.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 3302
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 17
#   Min. Layer Width  : 3
#   Ave. Layer Width  : 10.000000
#   Edges             : 11294 / 277133 (+dummy edges : 60)
#   Max. Predecessors : 44
#   Min. Predecessors : 0
#   Ave. Predecessors : 15.000000 (Real : 15.058667)
# Task processing time generator : expo2pks
#   Random Seed       : 3301
#   Max. Proc. Time   : 79
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.913333)
#   Probability of Av1: 0.500000
# CP Length           : 509
# Parallelism         : 11.660118
