750_38, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,3791,3791,3793,3795,3798,3809,1,3791,3794,3796,3800,3808,1,,,,,,,,,,,,
4,1896,1901,1912,1918,1926,1956,1,1899,1907,1910,1915,1938,1,,,,,,,,,,,,
8,948,994,1019,1026,1036,1072,1,992,1006,1012,1017,1038,1,,,,,,,,,,,,
16,797,798,809,815,821,860,1,797,797,798,799,806,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0038.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 2233
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 17
#   Min. Layer Width  : 2
#   Ave. Layer Width  : 10.000000
#   Edges             : 25878 / 277197 (+dummy edges : 40)
#   Max. Predecessors : 84
#   Min. Predecessors : 0
#   Ave. Predecessors : 34.504000
#   Probability       : 0.093348 (Real : 0.093356)
# Task processing time generator : unifproc
#   Random Seed       : 2232
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.109333)
# CP Length           : 797
# Parallelism         : 9.513174
