750_175, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2990,2990,2991,2992,2993,2999,1,2990,2991,2992,2994,3003,1,,,,,,,,,,,,
4,1495,1498,1507,1511,1517,1536,1,1495,1499,1502,1506,1518,1,,,,,,,,,,,,
8,749,777,792,803,813,845,1,754,764,768,773,790,1,,,,,,,,,,,,
16,454,485,503,511,523,561,1,472,479,481,484,490,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0175.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 3323
#   Tasks             : 750 (+dummy tasks : 2)
#   Layers            : 75
#   Max. Layer Width  : 15
#   Min. Layer Width  : 3
#   Ave. Layer Width  : 10.000000
#   Edges             : 12611 / 277252 (+dummy edges : 56)
#   Max. Predecessors : 46
#   Min. Predecessors : 0
#   Ave. Predecessors : 17.000000 (Real : 16.814667)
# Task processing time generator : norm2pks
#   Random Seed       : 3322
#   Max. Proc. Time   : 19
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Standard Dev.(1)  : 1.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.972000)
#   Standard Dev.(2)  : 3.000000
#   Probability of Av1: 0.500000
# CP Length           : 454
# Parallelism         : 13.169603
