750_130, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2967,2967,2968,2970,2972,2979,1,2967,2970,2972,2975,2984,1,,,,,,,,,,,,
4,1484,1495,1504,1507,1512,1526,1,1488,1497,1501,1506,1526,1,,,,,,,,,,,,
8,743,815,829,836,844,868,1,796,812,818,826,841,1,,,,,,,,,,,,
16,647,651,661,667,675,706,1,647,648,649,651,655,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 750//tmp/750/rand0130.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 3008
#   Tasks             : 750 (+dummy tasks : 2)
#   Edges             : 15539 / 280875 (+dummy edges : 33)
#   Max. Predecessors : 56
#   Min. Predecessors : 0
#   Ave. Predecessors : 20.718667
#   Probability       : 0.054753 (Real : 0.055324)
# Task processing time generator : norm2pks
#   Random Seed       : 3007
#   Max. Proc. Time   : 18
#   Min. Proc. Time   : 3
#   Ave. Proc. Time(1): 5.000000
#   Standard Dev.(1)  : 1.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.912000)
#   Standard Dev.(2)  : 3.000000
#   Probability of Av1: 0.500000
# CP Length           : 647
# Parallelism         : 9.171561
