500_7, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2585,2585,2588,2591,2597,2615,1,2585,2588,2591,2597,2618,1,,,,,,,,,,,,
4,1293,1301,1321,1329,1337,1366,1,1300,1311,1320,1329,1341,1,,,,,,,,,,,,
8,647,740,755,762,772,796,1,729,746,754,759,790,1,,,,,,,,,,,,
16,635,635,638,644,649,674,1,635,635,635,635,645,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 500//tmp/500/rand0007.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 1172
#   Tasks             : 500 (+dummy tasks : 2)
#   Edges             : 6723 / 124750 (+dummy edges : 36)
#   Max. Predecessors : 38
#   Min. Predecessors : 0
#   Ave. Predecessors : 13.446000
#   Probability       : 0.053524 (Real : 0.053892)
# Task processing time generator : unifproc
#   Random Seed       : 1171
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.340000)
# CP Length           : 635
# Parallelism         : 8.141732
