500_6, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2775,2775,2781,2786,2792,2810,1,2775,2785,2788,2794,2815,1,,,,,,,,,,,,
4,1388,1414,1426,1432,1441,1459,1,1413,1428,1438,1444,1469,1,,,,,,,,,,,,
8,891,910,924,929,936,956,1,906,919,926,932,942,1,,,,,,,,,,,,
16,891,891,891,892,896,911,1,891,891,891,891,891,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 500//tmp/500/rand0006.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 1165
#   Tasks             : 500 (+dummy tasks : 2)
#   Edges             : 12171 / 124750 (+dummy edges : 22)
#   Max. Predecessors : 64
#   Min. Predecessors : 0
#   Ave. Predecessors : 24.342000
#   Probability       : 0.097320 (Real : 0.097563)
# Task processing time generator : unifproc
#   Random Seed       : 1164
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 11.098000)
# CP Length           : 891
# Parallelism         : 6.227834
