500_122, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1957,1968,1981,1987,1996,2035,1,1971,1983,1988,1994,2020,1,,,,,,,,,,,,
4,1024,1112,1140,1150,1159,1184,1,1114,1125,1132,1139,1168,1,,,,,,,,,,,,
8,980,980,981,984,985,997,1,980,980,980,980,983,1,,,,,,,,,,,,
16,980,980,980,980,984,1001,1,980,980,980,980,980,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 500//tmp/500/rand0122.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 2526
#   Tasks             : 500 (+dummy tasks : 2)
#   Edges             : 16210 / 124750 (+dummy edges : 14)
#   Max. Predecessors : 84
#   Min. Predecessors : 0
#   Ave. Predecessors : 32.420000
#   Probability       : 0.129816 (Real : 0.129940)
# Task processing time generator : unif2pks
#   Random Seed       : 2525
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.826000)
#   Probability of Av1: 0.500000
# CP Length           : 980
# Parallelism         : 3.992857
