500_59, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2566,2566,2568,2571,2573,2584,1,2566,2569,2572,2575,2583,1,,,,,,,,,,,,
4,1283,1285,1293,1296,1300,1321,1,1287,1294,1299,1301,1313,1,,,,,,,,,,,,
8,650,696,708,713,720,741,1,698,707,711,716,729,1,,,,,,,,,,,,
16,617,617,619,624,630,658,1,617,617,617,617,617,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 500//tmp/500/rand0059.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 1536
#   Tasks             : 500 (+dummy tasks : 2)
#   Layers            : 50
#   Max. Layer Width  : 20
#   Min. Layer Width  : 4
#   Ave. Layer Width  : 10.000000
#   Edges             : 21783 / 122163 (+dummy edges : 20)
#   Max. Predecessors : 98
#   Min. Predecessors : 0
#   Ave. Predecessors : 43.566000
#   Probability       : 0.176104 (Real : 0.178311)
# Task processing time generator : normproc
#   Random Seed       : 1535
#   Max. Proc. Time   : 17
#   Min. Proc. Time   : 2
#   Ave. Proc. Time   : 10.000000 (Real : 10.264000)
#   Standard Deviation: 3.000000
# CP Length           : 617
# Parallelism         : 8.317666
