500_109, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2452,2452,2454,2456,2461,2481,1,2452,2454,2455,2461,2479,1,,,,,,,,,,,,
4,1226,1228,1240,1248,1257,1291,1,1229,1234,1241,1249,1273,1,,,,,,,,,,,,
8,613,633,656,673,685,788,1,616,632,641,649,663,1,,,,,,,,,,,,
16,307,355,428,459,494,595,1,329,343,346,349,367,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 500//tmp/500/rand0109.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 1886
#   Tasks             : 500 (+dummy tasks : 2)
#   Layers            : 50
#   Max. Layer Width  : 18
#   Min. Layer Width  : 4
#   Ave. Layer Width  : 10.000000
#   Edges             : 2568 / 122264 (+dummy edges : 111)
#   Max. Predecessors : 16
#   Min. Predecessors : 0
#   Ave. Predecessors : 5.000000 (Real : 5.136000)
# Task processing time generator : expoproc
#   Random Seed       : 1885
#   Max. Proc. Time   : 73
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 9.808000)
# CP Length           : 232
# Parallelism         : 21.137932
