500_142, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2025,2026,2033,2040,2047,2064,1,2026,2029,2033,2042,2069,1,,,,,,,,,,,,
4,1013,1034,1067,1074,1085,1142,1,1025,1043,1050,1061,1081,1,,,,,,,,,,,,
8,700,713,720,725,732,759,1,707,712,714,718,726,1,,,,,,,,,,,,
16,700,700,700,703,709,743,1,700,700,700,700,700,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 500//tmp/500/rand0142.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 2666
#   Tasks             : 500 (+dummy tasks : 2)
#   Layers            : 50
#   Max. Layer Width  : 16
#   Min. Layer Width  : 5
#   Ave. Layer Width  : 10.000000
#   Edges             : 18914 / 122328 (+dummy edges : 22)
#   Max. Predecessors : 86
#   Min. Predecessors : 0
#   Ave. Predecessors : 37.828000
#   Probability       : 0.153885 (Real : 0.154617)
# Task processing time generator : expo2pks
#   Random Seed       : 2665
#   Max. Proc. Time   : 57
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 8.100000)
#   Probability of Av1: 0.500000
# CP Length           : 700
# Parallelism         : 5.785714
