500_167, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2123,2123,2124,2126,2129,2138,1,2123,2125,2128,2130,2144,1,,,,,,,,,,,,
4,1062,1063,1073,1077,1083,1106,1,1063,1067,1070,1074,1081,1,,,,,,,,,,,,
8,531,551,568,575,589,633,1,535,544,547,555,565,1,,,,,,,,,,,,
16,280,318,334,346,357,413,1,300,307,312,316,326,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 500//tmp/500/rand0167.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 2843
#   Tasks             : 500 (+dummy tasks : 2)
#   Layers            : 50
#   Max. Layer Width  : 16
#   Min. Layer Width  : 3
#   Ave. Layer Width  : 10.000000
#   Edges             : 3973 / 122312 (+dummy edges : 68)
#   Max. Predecessors : 33
#   Min. Predecessors : 0
#   Ave. Predecessors : 8.000000 (Real : 7.946000)
# Task processing time generator : unif2pks
#   Random Seed       : 2842
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 8.490000)
#   Probability of Av1: 0.500000
# CP Length           : 280
# Parallelism         : 15.160714
