500_14, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1356,1398,1419,1427,1435,1462,1,1397,1415,1423,1432,1462,1,,,,,,,,,,,,
4,893,928,939,942,949,967,1,922,934,939,942,958,1,,,,,,,,,,,,
8,893,893,893,893,896,912,1,893,893,893,893,893,1,,,,,,,,,,,,
16,893,893,893,893,898,925,1,893,893,893,893,893,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 500//tmp/500/rand0014.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 1221
#   Tasks             : 500 (+dummy tasks : 2)
#   Edges             : 24588 / 124750 (+dummy edges : 9)
#   Max. Predecessors : 112
#   Min. Predecessors : 0
#   Ave. Predecessors : 49.176000
#   Probability       : 0.196948 (Real : 0.197098)
# Task processing time generator : expoproc
#   Random Seed       : 1220
#   Max. Proc. Time   : 39
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 5.416000)
# CP Length           : 893
# Parallelism         : 3.032475
