500_24, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1375,1375,1376,1378,1379,1382,1,1375,1376,1379,1380,1390,1,,,,,,,,,,,,
4,688,691,699,701,704,717,1,690,693,695,699,705,1,,,,,,,,,,,,
8,345,378,386,391,397,414,1,367,373,377,379,386,1,,,,,,,,,,,,
16,304,305,315,320,325,341,1,304,304,304,308,309,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 500//tmp/500/rand0024.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 1291
#   Tasks             : 500 (+dummy tasks : 2)
#   Edges             : 7274 / 124750 (+dummy edges : 36)
#   Max. Predecessors : 42
#   Min. Predecessors : 0
#   Ave. Predecessors : 14.548000
#   Probability       : 0.058983 (Real : 0.058309)
# Task processing time generator : normproc
#   Random Seed       : 1290
#   Max. Proc. Time   : 8
#   Min. Proc. Time   : 3
#   Ave. Proc. Time   : 5.000000 (Real : 5.500000)
#   Standard Deviation: 1.000000
# CP Length           : 304
# Parallelism         : 9.046053
