500_104, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1426,1426,1427,1428,1430,1435,1,1426,1427,1428,1430,1436,1,,,,,,,,,,,,
4,713,717,724,728,737,777,1,714,717,718,721,736,1,,,,,,,,,,,,
8,357,378,390,399,411,455,1,361,368,370,372,385,1,,,,,,,,,,,,
16,256,259,271,276,285,316,1,256,256,257,258,262,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 500//tmp/500/rand0104.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 1851
#   Tasks             : 500 (+dummy tasks : 2)
#   Layers            : 50
#   Max. Layer Width  : 16
#   Min. Layer Width  : 2
#   Ave. Layer Width  : 10.000000
#   Edges             : 6925 / 122308 (+dummy edges : 41)
#   Max. Predecessors : 37
#   Min. Predecessors : 0
#   Ave. Predecessors : 14.000000 (Real : 13.850000)
# Task processing time generator : expoproc
#   Random Seed       : 1850
#   Max. Proc. Time   : 27
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 5.702000)
# CP Length           : 256
# Parallelism         : 11.136719
