500_42, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1361,1361,1364,1369,1374,1385,1,1361,1364,1367,1370,1387,1,,,,,,,,,,,,
4,681,701,716,723,729,751,1,690,703,710,716,730,1,,,,,,,,,,,,
8,461,470,479,482,487,506,1,466,471,473,475,481,1,,,,,,,,,,,,
16,461,461,463,466,471,495,1,461,461,461,461,461,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 500//tmp/500/rand0042.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 1417
#   Tasks             : 500 (+dummy tasks : 2)
#   Layers            : 50
#   Max. Layer Width  : 17
#   Min. Layer Width  : 5
#   Ave. Layer Width  : 10.000000
#   Edges             : 20953 / 122301 (+dummy edges : 22)
#   Max. Predecessors : 98
#   Min. Predecessors : 0
#   Ave. Predecessors : 41.906000
#   Probability       : 0.170645 (Real : 0.171323)
# Task processing time generator : expoproc
#   Random Seed       : 1416
#   Max. Proc. Time   : 35
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 5.442000)
# CP Length           : 461
# Parallelism         : 5.902386
