500_160, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1962,1962,1965,1967,1971,1976,1,1962,1964,1967,1971,1984,1,,,,,,,,,,,,
4,981,992,1000,1005,1009,1024,1,984,992,994,999,1019,1,,,,,,,,,,,,
8,491,519,537,542,550,598,1,506,517,521,525,537,1,,,,,,,,,,,,
16,320,334,344,350,358,392,1,324,328,331,333,341,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 500//tmp/500/rand0160.stg
# Precedence constraints generator : samepred
#   Random Seed       : 2794
#   Tasks             : 500 (+dummy tasks : 2)
#   Edges             : 4439 / 124750 (+dummy edges : 46)
#   Max. Predecessors : 27
#   Min. Predecessors : 0
#   Ave. Predecessors : 9.000000 (Real : 8.878000)
# Task processing time generator : norm2pks
#   Random Seed       : 2793
#   Max. Proc. Time   : 19
#   Min. Proc. Time   : 3
#   Ave. Proc. Time(1): 5.000000
#   Standard Dev.(1)  : 1.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.846000)
#   Standard Dev.(2)  : 3.000000
#   Probability of Av1: 0.500000
# CP Length           : 320
# Parallelism         : 12.259375
