500_62, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1355,1355,1356,1358,1360,1366,1,1355,1358,1360,1361,1369,1,,,,,,,,,,,,
4,678,686,694,696,701,710,1,681,690,694,697,704,1,,,,,,,,,,,,
8,377,402,421,425,430,445,1,402,411,414,417,425,1,,,,,,,,,,,,
16,376,376,382,386,391,419,1,376,376,376,376,376,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 500//tmp/500/rand0062.stg
# Precedence constraints generator : samepred
#   Random Seed       : 1557
#   Tasks             : 500 (+dummy tasks : 2)
#   Edges             : 9444 / 124750 (+dummy edges : 24)
#   Max. Predecessors : 47
#   Min. Predecessors : 0
#   Ave. Predecessors : 19.000000 (Real : 18.888000)
# Task processing time generator : unifproc
#   Random Seed       : 1556
#   Max. Proc. Time   : 10
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 5.420000)
# CP Length           : 376
# Parallelism         : 7.207447
