500_124, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2002,2035,2057,2067,2075,2097,1,2020,2052,2059,2070,2086,1,,,,,,,,,,,,
4,1223,1283,1294,1299,1304,1324,1,1269,1285,1290,1297,1310,1,,,,,,,,,,,,
8,1223,1223,1223,1223,1223,1229,1,1223,1223,1223,1223,1223,1,,,,,,,,,,,,
16,1223,1223,1223,1223,1223,1229,1,1223,1223,1223,1223,1223,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 500//tmp/500/rand0124.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 2540
#   Tasks             : 500 (+dummy tasks : 2)
#   Edges             : 24043 / 124750 (+dummy edges : 7)
#   Max. Predecessors : 121
#   Min. Predecessors : 0
#   Ave. Predecessors : 48.086000
#   Probability       : 0.192223 (Real : 0.192729)
# Task processing time generator : unif2pks
#   Random Seed       : 2539
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.972000)
#   Probability of Av1: 0.500000
# CP Length           : 1223
# Parallelism         : 3.259199
