500_55, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2641,2641,2642,2644,2646,2653,1,2641,2643,2644,2647,2655,1,,,,,,,,,,,,
4,1321,1323,1331,1334,1339,1359,1,1322,1325,1328,1333,1347,1,,,,,,,,,,,,
8,661,674,684,693,699,724,1,665,673,678,682,693,1,,,,,,,,,,,,
16,384,399,413,419,428,471,1,392,398,402,405,414,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 500//tmp/500/rand0055.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 1508
#   Tasks             : 500 (+dummy tasks : 2)
#   Layers            : 50
#   Max. Layer Width  : 15
#   Min. Layer Width  : 3
#   Ave. Layer Width  : 10.000000
#   Edges             : 6300 / 122296 (+dummy edges : 53)
#   Max. Predecessors : 36
#   Min. Predecessors : 0
#   Ave. Predecessors : 12.600000
#   Probability       : 0.051290 (Real : 0.051514)
# Task processing time generator : normproc
#   Random Seed       : 1507
#   Max. Proc. Time   : 19
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.562000)
#   Standard Deviation: 3.000000
# CP Length           : 384
# Parallelism         : 13.752604
