500_53, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1356,1356,1357,1357,1359,1363,1,1356,1357,1358,1360,1366,1,,,,,,,,,,,,
4,678,682,687,689,693,700,1,680,682,684,686,692,1,,,,,,,,,,,,
8,340,356,365,370,374,386,1,349,354,357,359,369,1,,,,,,,,,,,,
16,274,279,289,292,297,314,1,274,274,274,274,274,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 500//tmp/500/rand0053.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 1494
#   Tasks             : 500 (+dummy tasks : 2)
#   Layers            : 50
#   Max. Layer Width  : 15
#   Min. Layer Width  : 6
#   Ave. Layer Width  : 10.000000
#   Edges             : 17081 / 122376 (+dummy edges : 29)
#   Max. Predecessors : 83
#   Min. Predecessors : 0
#   Ave. Predecessors : 34.162000
#   Probability       : 0.138883 (Real : 0.139578)
# Task processing time generator : normproc
#   Random Seed       : 1493
#   Max. Proc. Time   : 8
#   Min. Proc. Time   : 3
#   Ave. Proc. Time   : 5.000000 (Real : 5.424000)
#   Standard Deviation: 1.000000
# CP Length           : 274
# Parallelism         : 9.897810
