1000_52, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2736,2736,2737,2738,2739,2742,1,2736,2737,2738,2740,2748,1,,,,,,,,,,,,
4,1368,1375,1386,1390,1394,1406,1,1370,1373,1375,1378,1389,1,,,,,,,,,,,,
8,685,723,736,743,750,776,1,707,712,717,720,731,1,,,,,,,,,,,,
16,544,557,574,581,587,612,1,544,544,544,544,544,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0052.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 3175
#   Tasks             : 1000 (+dummy tasks : 2)
#   Layers            : 100
#   Max. Layer Width  : 19
#   Min. Layer Width  : 4
#   Ave. Layer Width  : 10.000000
#   Edges             : 63195 / 494665 (+dummy edges : 27)
#   Max. Predecessors : 150
#   Min. Predecessors : 0
#   Ave. Predecessors : 63.195000
#   Probability       : 0.127714 (Real : 0.127753)
# Task processing time generator : normproc
#   Random Seed       : 3174
#   Max. Proc. Time   : 8
#   Min. Proc. Time   : 2
#   Ave. Proc. Time   : 5.000000 (Real : 5.471000)
#   Standard Deviation: 1.000000
# CP Length           : 544
# Parallelism         : 10.056985
