1000_17, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,5342,5460,5520,5540,5555,5613,1,5445,5508,5528,5547,5591,1,,,,,,,,,,,,
4,3216,3419,3467,3484,3497,3553,1,3414,3448,3465,3479,3518,1,,,,,,,,,,,,
8,3204,3204,3205,3206,3212,3229,1,3204,3204,3204,3205,3209,1,,,,,,,,,,,,
16,3204,3204,3204,3205,3212,3246,1,3204,3204,3204,3204,3204,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0017.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 2930
#   Tasks             : 1000 (+dummy tasks : 2)
#   Edges             : 80100 / 499500 (+dummy edges : 16)
#   Max. Predecessors : 179
#   Min. Predecessors : 0
#   Ave. Predecessors : 80.100000
#   Probability       : 0.160593 (Real : 0.160360)
# Task processing time generator : expoproc
#   Random Seed       : 2929
#   Max. Proc. Time   : 77
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.683000)
# CP Length           : 3204
# Parallelism         : 3.334270
