1000_40, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2768,2768,2769,2772,2775,2782,1,2768,2769,2771,2773,2780,1,,,,,,,,,,,,
4,1384,1399,1413,1426,1433,1485,1,1384,1389,1392,1396,1406,1,,,,,,,,,,,,
8,692,763,791,806,829,872,1,712,727,732,739,762,1,,,,,,,,,,,,
16,540,554,570,583,596,647,1,541,543,544,545,548,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0040.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 3091
#   Tasks             : 1000 (+dummy tasks : 2)
#   Layers            : 100
#   Max. Layer Width  : 16
#   Min. Layer Width  : 4
#   Ave. Layer Width  : 10.000000
#   Edges             : 26191 / 494626 (+dummy edges : 43)
#   Max. Predecessors : 66
#   Min. Predecessors : 0
#   Ave. Predecessors : 26.191000
#   Probability       : 0.053273 (Real : 0.052951)
# Task processing time generator : expoproc
#   Random Seed       : 3090
#   Max. Proc. Time   : 38
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 5.535000)
# CP Length           : 540
# Parallelism         : 10.250000
