1000_41, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2791,2791,2800,2804,2809,2828,1,2792,2797,2801,2805,2832,1,,,,,,,,,,,,
4,1396,1454,1475,1484,1494,1522,1,1425,1442,1450,1458,1485,1,,,,,,,,,,,,
8,952,985,997,1004,1015,1042,1,971,977,982,985,998,1,,,,,,,,,,,,
16,952,952,960,967,976,1000,1,952,952,952,952,952,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0041.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 3098
#   Tasks             : 1000 (+dummy tasks : 2)
#   Layers            : 100
#   Max. Layer Width  : 19
#   Min. Layer Width  : 3
#   Ave. Layer Width  : 10.000000
#   Edges             : 78895 / 494568 (+dummy edges : 25)
#   Max. Predecessors : 186
#   Min. Predecessors : 0
#   Ave. Predecessors : 78.895000
#   Probability       : 0.159476 (Real : 0.159523)
# Task processing time generator : expoproc
#   Random Seed       : 3097
#   Max. Proc. Time   : 34
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 5.582000)
# CP Length           : 952
# Parallelism         : 5.863445
