1000_129, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,3872,3873,3881,3886,3893,3905,1,3873,3881,3886,3891,3911,1,,,,,,,,,,,,
4,1936,2002,2030,2040,2056,2112,1,1977,2005,2013,2024,2066,1,,,,,,,,,,,,
8,1371,1391,1408,1416,1426,1476,1,1376,1386,1391,1395,1412,1,,,,,,,,,,,,
16,1371,1371,1374,1378,1388,1434,1,1371,1371,1371,1371,1371,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0129.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 3425
#   Tasks             : 1000 (+dummy tasks : 2)
#   Edges             : 36810 / 499500 (+dummy edges : 22)
#   Max. Predecessors : 91
#   Min. Predecessors : 0
#   Ave. Predecessors : 36.810000
#   Probability       : 0.073859 (Real : 0.073694)
# Task processing time generator : expo2pks
#   Random Seed       : 3424
#   Max. Proc. Time   : 55
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.744000)
#   Probability of Av1: 0.500000
# CP Length           : 1371
# Parallelism         : 5.648432
