1000_151, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,3820,3820,3821,3823,3824,3833,1,3820,3821,3822,3825,3833,1,,,,,,,,,,,,
4,1910,1916,1930,1936,1945,1978,1,1911,1915,1918,1920,1926,1,,,,,,,,,,,,
8,955,997,1019,1036,1051,1112,1,961,967,970,972,982,1,,,,,,,,,,,,
16,496,582,602,612,629,669,1,527,536,542,545,557,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0151.stg
# Precedence constraints generator : samepred
#   Random Seed       : 3579
#   Tasks             : 1000 (+dummy tasks : 2)
#   Edges             : 13862 / 499500 (+dummy edges : 68)
#   Max. Predecessors : 41
#   Min. Predecessors : 0
#   Ave. Predecessors : 14.000000 (Real : 13.862000)
# Task processing time generator : unif2pks
#   Random Seed       : 3578
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.639000)
#   Probability of Av1: 0.500000
# CP Length           : 496
# Parallelism         : 15.401210
