1000_77, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,5551,5551,5553,5556,5563,5579,1,5551,5555,5559,5565,5584,1,,,,,,,,,,,,
4,2776,2787,2801,2810,2822,2861,1,2779,2787,2793,2801,2820,1,,,,,,,,,,,,
8,1388,1441,1464,1481,1508,1572,1,1399,1414,1418,1427,1444,1,,,,,,,,,,,,
16,694,922,1034,1084,1160,1372,1,728,736,739,746,775,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0077.stg
# Precedence constraints generator : samepred
#   Random Seed       : 3350
#   Tasks             : 1000 (+dummy tasks : 2)
#   Edges             : 5007 / 499500 (+dummy edges : 209)
#   Max. Predecessors : 19
#   Min. Predecessors : 0
#   Ave. Predecessors : 5.000000 (Real : 5.007000)
# Task processing time generator : expoproc
#   Random Seed       : 3349
#   Max. Proc. Time   : 67
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 11.101000)
# CP Length           : 355
# Parallelism         : 31.270422
