1000_84, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2720,2720,2721,2721,2723,2727,1,2720,2721,2722,2724,2727,1,,,,,,,,,,,,
4,1360,1368,1378,1383,1386,1400,1,1361,1363,1365,1367,1374,1,,,,,,,,,,,,
8,680,735,758,767,777,803,1,681,685,687,690,697,1,,,,,,,,,,,,
16,342,489,506,518,534,565,1,345,349,352,357,364,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0084.stg
# Precedence constraints generator : samepred
#   Random Seed       : 3399
#   Tasks             : 1000 (+dummy tasks : 2)
#   Edges             : 3987 / 499500 (+dummy edges : 240)
#   Max. Predecessors : 20
#   Min. Predecessors : 0
#   Ave. Predecessors : 4.000000 (Real : 3.987000)
# Task processing time generator : normproc
#   Random Seed       : 3398
#   Max. Proc. Time   : 9
#   Min. Proc. Time   : 2
#   Ave. Proc. Time   : 5.000000 (Real : 5.440000)
#   Standard Deviation: 1.000000
# CP Length           : 114
# Parallelism         : 47.719299
