1000_170, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,3880,3880,3881,3884,3889,3898,1,3880,3882,3884,3887,3893,1,,,,,,,,,,,,
4,1940,,,,,,,1942,1947,1950,1956,1973,1,,,,,,,,,,,,
8,970,,,,,,,975,983,987,992,1015,1,,,,,,,,,,,,
16,485,,,,,,,496,506,512,519,556,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0170.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 3712
#   Tasks             : 1000 (+dummy tasks : 2)
#   Layers            : 100
#   Max. Layer Width  : 18
#   Min. Layer Width  : 4
#   Ave. Layer Width  : 10.000000
#   Edges             : 2003 / 494680 (+dummy edges : 484)
#   Max. Predecessors : 10
#   Min. Predecessors : 0
#   Ave. Predecessors : 2.000000 (Real : 2.003000)
# Task processing time generator : expo2pks
#   Random Seed       : 3711
#   Max. Proc. Time   : 67
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.759000)
#   Probability of Av1: 0.500000
# CP Length           : 173
# Parallelism         : 44.849712
