1000_159, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,4202,4202,4203,4204,4208,4217,1,4202,4203,4205,4208,4218,1,,,,,,,,,,,,
4,2101,2109,2121,2134,2144,2189,1,2101,2107,2110,2115,2135,1,,,,,,,,,,,,
8,1051,1096,1151,1171,1204,1309,1,1058,1067,1071,1077,1100,1,,,,,,,,,,,,
16,526,671,748,773,808,964,1,542,550,558,564,582,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0159.stg
# Precedence constraints generator : samepred
#   Random Seed       : 3635
#   Tasks             : 1000 (+dummy tasks : 2)
#   Edges             : 7864 / 499500 (+dummy edges : 122)
#   Max. Predecessors : 27
#   Min. Predecessors : 0
#   Ave. Predecessors : 8.000000 (Real : 7.864000)
# Task processing time generator : expo2pks
#   Random Seed       : 3634
#   Max. Proc. Time   : 51
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 8.403000)
#   Probability of Av1: 0.500000
# CP Length           : 349
# Parallelism         : 24.077364
