1000_119, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,5222,5222,5223,5224,5226,5234,1,5222,5224,5225,5226,5237,1,,,,,,,,,,,,
4,2611,2615,2623,2630,2636,2664,1,2612,2616,2618,2622,2632,1,,,,,,,,,,,,
8,1306,1330,1347,1359,1372,1418,1,1309,1317,1322,1328,1341,1,,,,,,,,,,,,
16,656,734,759,769,784,838,1,702,711,717,723,739,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0119.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 3644
#   Tasks             : 1000 (+dummy tasks : 2)
#   Layers            : 100
#   Max. Layer Width  : 19
#   Min. Layer Width  : 4
#   Ave. Layer Width  : 10.000000
#   Edges             : 19183 / 494554 (+dummy edges : 64)
#   Max. Predecessors : 52
#   Min. Predecessors : 0
#   Ave. Predecessors : 19.000000 (Real : 19.183000)
# Task processing time generator : normproc
#   Random Seed       : 3643
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.443000)
#   Standard Deviation: 3.000000
# CP Length           : 627
# Parallelism         : 16.655502
