1000_107, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,5282,5282,5283,5286,5289,5309,1,5282,5283,5285,5289,5314,1,,,,,,,,,,,,
4,2641,2647,2661,2671,2682,2723,1,2643,2647,2652,2660,2687,1,,,,,,,,,,,,
8,1321,1359,1393,1409,1442,1522,1,1325,1335,1341,1356,1372,1,,,,,,,,,,,,
16,661,766,861,904,957,1076,0,675,688,693,699,722,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0107.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 3560
#   Tasks             : 1000 (+dummy tasks : 2)
#   Layers            : 100
#   Max. Layer Width  : 16
#   Min. Layer Width  : 4
#   Ave. Layer Width  : 10.000000
#   Edges             : 8901 / 494634 (+dummy edges : 109)
#   Max. Predecessors : 30
#   Min. Predecessors : 0
#   Ave. Predecessors : 9.000000 (Real : 8.901000)
# Task processing time generator : expoproc
#   Random Seed       : 3559
#   Max. Proc. Time   : 77
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.563000)
# CP Length           : 456
# Parallelism         : 23.164474
