1000_160, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,3917,3917,3918,3920,3923,3938,1,3917,3919,3920,3924,3938,1,,,,,,,,,,,,
4,1959,1962,1973,1978,1986,2001,1,1961,1964,1967,1971,1989,1,,,,,,,,,,,,
8,980,1016,1029,1042,1061,1081,1,982,988,992,995,1006,1,,,,,,,,,,,,
16,491,,,,,,,498,504,507,511,525,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0160.stg
# Precedence constraints generator : samepred
#   Random Seed       : 3642
#   Tasks             : 1000 (+dummy tasks : 2)
#   Edges             : 3058 / 499500 (+dummy edges : 310)
#   Max. Predecessors : 12
#   Min. Predecessors : 0
#   Ave. Predecessors : 3.000000 (Real : 3.058000)
# Task processing time generator : norm2pks
#   Random Seed       : 3641
#   Max. Proc. Time   : 19
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Standard Dev.(1)  : 1.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.834000)
#   Standard Dev.(2)  : 3.000000
#   Probability of Av1: 0.500000
# CP Length           : 130
# Parallelism         : 60.261539
