1000_76, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,5096,5096,5098,5101,5103,5126,1,5096,5098,5101,5106,5119,1,,,,,,,,,,,,
4,2548,2557,2570,2582,2595,2652,1,2549,2557,2563,2572,2592,1,,,,,,,,,,,,
8,1274,1328,1366,1382,1406,1509,1,1281,1301,1307,1319,1358,1,,,,,,,,,,,,
16,638,787,839,873,902,1059,1,705,721,728,738,780,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0076.stg
# Precedence constraints generator : samepred
#   Random Seed       : 3343
#   Tasks             : 1000 (+dummy tasks : 2)
#   Edges             : 9858 / 499500 (+dummy edges : 96)
#   Max. Predecessors : 33
#   Min. Predecessors : 0
#   Ave. Predecessors : 10.000000 (Real : 9.858000)
# Task processing time generator : expoproc
#   Random Seed       : 3342
#   Max. Proc. Time   : 70
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.192000)
# CP Length           : 576
# Parallelism         : 17.694445
