1000_97, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,5220,5220,5222,5226,5233,5248,1,5220,5222,5227,5233,5248,1,,,,,,,,,,,,
4,2610,2613,2628,2635,2645,2673,1,2611,2618,2623,2637,2650,1,,,,,,,,,,,,
8,1305,1327,1371,1383,1399,1488,1,1309,1321,1333,1345,1357,1,,,,,,,,,,,,
16,654,799,848,880,915,982,1,675,684,688,697,720,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0097.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 3490
#   Tasks             : 1000 (+dummy tasks : 2)
#   Layers            : 100
#   Max. Layer Width  : 17
#   Min. Layer Width  : 3
#   Ave. Layer Width  : 10.000000
#   Edges             : 8103 / 494570 (+dummy edges : 120)
#   Max. Predecessors : 27
#   Min. Predecessors : 0
#   Ave. Predecessors : 8.000000 (Real : 8.103000)
# Task processing time generator : unifproc
#   Random Seed       : 3489
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.439000)
# CP Length           : 386
# Parallelism         : 27.044041
