1000_154, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,4059,4059,4060,4063,4065,4078,1,4059,4061,4062,4065,4078,1,,,,,,,,,,,,
4,2030,2035,2048,2052,2061,2114,1,2031,2034,2038,2042,2059,1,,,,,,,,,,,,
8,1015,1061,1085,1097,1112,1149,1,1027,1038,1045,1050,1065,1,,,,,,,,,,,,
16,613,660,688,701,713,763,1,623,637,641,647,658,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0154.stg
# Precedence constraints generator : samepred
#   Random Seed       : 3600
#   Tasks             : 1000 (+dummy tasks : 2)
#   Edges             : 17109 / 499500 (+dummy edges : 68)
#   Max. Predecessors : 50
#   Min. Predecessors : 0
#   Ave. Predecessors : 17.000000 (Real : 17.109000)
# Task processing time generator : unif2pks
#   Random Seed       : 3599
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 8.117000)
#   Probability of Av1: 0.500000
# CP Length           : 613
# Parallelism         : 13.241436
