1000_99, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,5140,5140,5142,5143,5145,5151,1,5140,5142,5144,5148,5163,1,,,,,,,,,,,,
4,2570,2574,2583,2588,2595,2636,1,2572,2574,2577,2580,2595,1,,,,,,,,,,,,
8,1285,1312,1336,1350,1367,1403,1,1291,1299,1303,1308,1325,1,,,,,,,,,,,,
16,644,736,766,786,802,874,1,686,703,711,719,741,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0099.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 3504
#   Tasks             : 1000 (+dummy tasks : 2)
#   Layers            : 100
#   Max. Layer Width  : 19
#   Min. Layer Width  : 3
#   Ave. Layer Width  : 10.000000
#   Edges             : 15973 / 494568 (+dummy edges : 75)
#   Max. Predecessors : 45
#   Min. Predecessors : 0
#   Ave. Predecessors : 16.000000 (Real : 15.973000)
# Task processing time generator : unifproc
#   Random Seed       : 3503
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.280000)
# CP Length           : 601
# Parallelism         : 17.104826
