1000_37, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,5059,5059,5064,5068,5072,5090,1,5059,5067,5070,5076,5096,1,,,,,,,,,,,,
4,2530,2546,2563,2572,2579,2601,1,2545,2563,2571,2582,2605,1,,,,,,,,,,,,
8,1405,1480,1500,1508,1518,1544,1,1474,1494,1501,1508,1526,1,,,,,,,,,,,,
16,1402,1402,1405,1412,1419,1455,1,1402,1402,1402,1402,1402,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0037.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 3070
#   Tasks             : 1000 (+dummy tasks : 2)
#   Layers            : 100
#   Max. Layer Width  : 18
#   Min. Layer Width  : 4
#   Ave. Layer Width  : 10.000000
#   Edges             : 91540 / 494559 (+dummy edges : 28)
#   Max. Predecessors : 215
#   Min. Predecessors : 0
#   Ave. Predecessors : 91.540000
#   Probability       : 0.184662 (Real : 0.185094)
# Task processing time generator : unifproc
#   Random Seed       : 3069
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.117000)
# CP Length           : 1402
# Parallelism         : 7.216120
