1000_65, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,5279,5279,5281,5286,5290,5301,1,5279,5283,5287,5295,5304,1,,,,,,,,,,,,
4,2640,2647,2660,2666,2675,2706,1,2644,2654,2659,2664,2677,1,,,,,,,,,,,,
8,1320,1364,1392,1402,1416,1464,1,1342,1352,1356,1361,1377,1,,,,,,,,,,,,
16,700,801,829,847,863,926,1,759,779,786,792,831,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0065.stg
# Precedence constraints generator : samepred
#   Random Seed       : 3266
#   Tasks             : 1000 (+dummy tasks : 2)
#   Edges             : 13957 / 499500 (+dummy edges : 63)
#   Max. Predecessors : 45
#   Min. Predecessors : 0
#   Ave. Predecessors : 14.000000 (Real : 13.957000)
# Task processing time generator : unifproc
#   Random Seed       : 3265
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.557000)
# CP Length           : 700
# Parallelism         : 15.081429
