1000_118, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,5270,5270,5271,5272,5274,5282,1,5270,5271,5274,5276,5287,1,,,,,,,,,,,,
4,2635,2638,2647,2651,2655,2682,1,2636,2640,2642,2646,2658,1,,,,,,,,,,,,
8,1318,1345,1367,1381,1393,1442,1,1322,1327,1330,1336,1357,1,,,,,,,,,,,,
16,662,794,879,900,923,972,1,667,676,681,684,708,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0118.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 3637
#   Tasks             : 1000 (+dummy tasks : 2)
#   Layers            : 100
#   Max. Layer Width  : 16
#   Min. Layer Width  : 4
#   Ave. Layer Width  : 10.000000
#   Edges             : 5099 / 494584 (+dummy edges : 194)
#   Max. Predecessors : 19
#   Min. Predecessors : 0
#   Ave. Predecessors : 5.000000 (Real : 5.099000)
# Task processing time generator : normproc
#   Random Seed       : 3636
#   Max. Proc. Time   : 19
#   Min. Proc. Time   : 2
#   Ave. Proc. Time   : 10.000000 (Real : 10.539000)
#   Standard Deviation: 3.000000
# CP Length           : 237
# Parallelism         : 44.468353
