1000_54, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,2734,2734,2735,2737,2738,2743,1,2734,2737,2739,2742,2751,1,,,,,,,,,,,,
4,1367,1379,1387,1390,1394,1407,1,1372,1378,1380,1382,1390,1,,,,,,,,,,,,
8,690,742,756,761,767,781,1,730,738,741,744,758,1,,,,,,,,,,,,
16,612,624,643,650,658,682,1,612,612,612,612,612,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0054.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 3189
#   Tasks             : 1000 (+dummy tasks : 2)
#   Layers            : 100
#   Max. Layer Width  : 16
#   Min. Layer Width  : 3
#   Ave. Layer Width  : 10.000000
#   Edges             : 94437 / 494564 (+dummy edges : 27)
#   Max. Predecessors : 219
#   Min. Predecessors : 0
#   Ave. Predecessors : 94.437000
#   Probability       : 0.190121 (Real : 0.190950)
# Task processing time generator : normproc
#   Random Seed       : 3188
#   Max. Proc. Time   : 9
#   Min. Proc. Time   : 2
#   Ave. Proc. Time   : 5.000000 (Real : 5.467000)
#   Standard Deviation: 1.000000
# CP Length           : 612
# Parallelism         : 8.933006
