1000_158, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,4212,4212,4213,4217,4223,4255,1,4212,4213,4215,4217,4233,1,,,,,,,,,,,,
4,2106,2115,2138,2148,2167,2205,1,2107,2111,2115,2122,2139,1,,,,,,,,,,,,
8,1053,1114,1169,1188,1222,1288,1,1065,1086,1096,1108,1159,1,,,,,,,,,,,,
16,657,706,763,787,816,895,1,689,705,711,717,732,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0158.stg
# Precedence constraints generator : samepred
#   Random Seed       : 3628
#   Tasks             : 1000 (+dummy tasks : 2)
#   Edges             : 14146 / 499500 (+dummy edges : 63)
#   Max. Predecessors : 42
#   Min. Predecessors : 0
#   Ave. Predecessors : 14.000000 (Real : 14.146000)
# Task processing time generator : expo2pks
#   Random Seed       : 3627
#   Max. Proc. Time   : 76
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 8.423000)
#   Probability of Av1: 0.500000
# CP Length           : 657
# Parallelism         : 12.820395
