1000_127, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,3971,4076,4120,4132,4145,4189,1,4069,4101,4117,4134,4176,1,,,,,,,,,,,,
4,2452,2585,2620,2629,2639,2674,1,2561,2605,2614,2625,2674,1,,,,,,,,,,,,
8,2439,2439,2439,2439,2443,2467,1,2439,2439,2439,2439,2439,1,,,,,,,,,,,,
16,2439,2439,2439,2439,2443,2467,1,2439,2439,2439,2439,2439,1,,,,,,,,,,,,
# Standard Task Graph Set Project
# Random Task Graph 1000//tmp/1000/rand0127.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 3411
#   Tasks             : 1000 (+dummy tasks : 2)
#   Edges             : 80910 / 499500 (+dummy edges : 14)
#   Max. Predecessors : 189
#   Min. Predecessors : 0
#   Ave. Predecessors : 80.910000
#   Probability       : 0.161452 (Real : 0.161982)
# Task processing time generator : expo2pks
#   Random Seed       : 3410
#   Max. Proc. Time   : 57
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.925000)
#   Probability of Av1: 0.500000
# CP Length           : 2439
# Parallelism         : 3.249283
